,Created Date,Agency,Complaint Type,Latitude,Longitude
4,2015-07-04 00:03:27,NYPD,noise - street/sidewalk,40.676175161,-73.9512690005
92,2015-07-02 00:09:59,NYPD,noise - street/sidewalk,40.8003649706,-73.931211556
151,2015-06-21 00:32:05,NYPD,noise - commercial,40.7874422887,-73.9518917441
154,2015-06-21 00:14:55,NYPD,noise - commercial,40.7016962668,-73.9218137271
244,2015-09-08 00:33:41,NYPD,noise - commercial,40.8658735997,-73.9276548856
282,2015-04-03 00:37:26,NYPD,noise - commercial,40.6947038837,-73.9549842336
442,2015-09-26 00:48:28,NYPD,noise - commercial,40.7989822968,-73.9424493428
445,2015-09-27 00:40:17,NYPD,noise - street/sidewalk,40.8005802571,-73.9561298456
479,2015-09-26 00:24:24,NYPD,noise - commercial,40.7051843564,-73.9445861584
502,2015-07-23 00:25:40,NYPD,noise - street/sidewalk,40.7705529929,-73.9564456683
640,2015-02-15 00:55:30,NYPD,noise - commercial,40.8241542097,-73.9483820956
672,2015-09-26 00:01:38,NYPD,noise - commercial,40.7055203343,-73.9227145367
713,2015-06-25 00:10:52,NYPD,noise - street/sidewalk,40.6904470397,-73.9920164592
736,2015-03-14 00:45:06,NYPD,noise - commercial,40.7799599988,-73.978790262
841,2015-08-07 00:02:26,NYPD,noise - street/sidewalk,40.8556561815,-73.9294300673
886,2015-09-19 00:06:04,NYPD,noise - commercial,40.6989781562,-73.9167715636
1015,2015-02-27 00:22:53,NYPD,noise - commercial,40.7202113674,-73.9936615422
1132,2015-06-13 00:27:11,NYPD,noise - commercial,40.7113493329,-73.9511711441
1162,2015-10-04 00:12:31,NYPD,noise - street/sidewalk,40.6459901146,-73.9966631287
1181,2015-08-08 00:50:49,NYPD,noise - street/sidewalk,40.8242325422,-73.9259188572
1197,2015-09-19 00:48:02,NYPD,noise - street/sidewalk,40.8405645117,-73.9366886791
1228,2015-06-19 00:42:31,NYPD,noise - street/sidewalk,40.8356747403,-73.9445497494
1400,2015-05-09 00:40:12,NYPD,noise - street/sidewalk,40.8725142699,-73.8999360894
1459,2015-02-23 00:26:15,NYPD,noise - commercial,40.8145355414,-73.9591444421
1491,2015-05-31 00:31:36,NYPD,noise - commercial,40.768250619,-73.9252663194
1615,2015-03-03 00:21:46,NYPD,noise - commercial,40.7667211912,-73.9126941739
1642,2015-10-10 00:40:00,NYPD,noise - street/sidewalk,40.7161195997,-73.9032226859
1743,2015-08-11 00:45:08,NYPD,noise - street/sidewalk,40.6509147394,-73.9769501035
1781,2015-09-06 00:28:58,NYPD,noise - commercial,40.6298145016,-74.1403992946
1815,2015-09-19 00:57:10,NYPD,noise - street/sidewalk,40.8242671549,-73.9493105972
2056,2015-10-12 00:03:11,NYPD,noise - commercial,40.7446002729,-73.9534889286
2078,2015-09-27 00:40:09,NYPD,noise - street/sidewalk,40.8014112499,-73.9620023233
2122,2015-07-04 00:54:42,NYPD,noise - street/sidewalk,40.6738189097,-73.9549766999
2137,2015-09-07 00:11:07,NYPD,noise - street/sidewalk,40.6460063293,-73.9490604469
2314,2015-07-04 00:01:24,NYPD,noise - street/sidewalk,40.6229412945,-74.0288975571
2365,2015-09-12 00:56:31,NYPD,noise - street/sidewalk,40.8304136893,-73.9178827288
2386,2015-07-04 00:21:50,NYPD,noise - street/sidewalk,40.8261218415,-73.9476506849
2417,2015-07-05 00:07:14,NYPD,noise - street/sidewalk,40.7585181839,-73.967434004
2426,2015-07-04 00:12:12,NYPD,noise - vehicle,40.8260989324,-73.9517626236
4240,2015-08-13 00:36:32,NYPD,noise - street/sidewalk,40.8200654921,-73.9209303851
4286,2015-08-13 00:39:32,NYPD,noise - commercial,40.6803371279,-73.9607769756
4391,2015-10-11 00:39:11,NYPD,noise - street/sidewalk,40.8015156456,-73.9622948318
4413,2015-09-14 00:05:55,NYPD,noise - street/sidewalk,40.8811827999,-73.9040998488
4435,2015-09-26 00:08:25,NYPD,noise - vehicle,40.6349089588,-73.9551722895
4599,2015-04-05 00:20:09,NYPD,noise - commercial,40.6967048625,-73.9725598625
4606,2015-09-25 00:51:17,NYPD,noise - vehicle,40.6699365563,-73.9590023074
4787,2015-06-05 00:38:28,NYPD,noise - commercial,40.7604614266,-73.9177776557
4830,2015-02-23 00:21:01,NYPD,noise - commercial,40.6195620798,-73.9269312731
4836,2015-09-24 00:41:42,NYPD,noise - street/sidewalk,40.6692462923,-73.9282827122
4909,2015-06-29 00:07:07,NYPD,noise - commercial,40.8695493399,-73.9163483681
